srcStateName,srcYear,Region-wise installation of electricity,"Energy Value Type ( Potential, Capacity, Generation )",Types of Energy Sources,Nature of Energy Sources,Values for renewable electricity,"Types of Usage (Utility ,Captive)",Type of Energy Sector,YearCode,Year
TAMILNADU,2013,,Generation,HYDRO,NON-RENEWABLE,0.14,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
GUJARAT,2013,,Generation,NATURAL GAS,NON-RENEWABLE,10342.41,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
ODISHA,2014,ER,Capacity,SMALL HYDRO,,64.63,,,2014,"Financial Year (Apr - Mar), 2014"
GUJARAT,2019,,Generation,WIND,RENEWABLE,11389.291,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
CHHATTISGARH,2018,,Generation,SMALL HYDRO,RENEWABLE,22.94,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
WEST BENGAL,2015,,Generation,SMALL HYDRO,RENEWABLE,157.573,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
KERALA,2018,,Generation,NAPHTHA,NON-RENEWABLE,4.19,UTILITY,CENTRAL,2018,"Financial Year (Apr - Mar), 2018"
GUJARAT,2020,,Generation,DIESEL,NON-RENEWABLE,121.753,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
MULTIPLE STATES,2020,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
PUDUCHERRY,2014,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
GOA,2019,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
MAHARASHTRA,2014,WR,Capacity,SOLAR,,249.25,,,2014,"Financial Year (Apr - Mar), 2014"
MADHYA PRADESH,2014,,Generation,COAL,NON-RENEWABLE,16206.77,UTILITY,STATE,2014,"Financial Year (Apr - Mar), 2014"
DELHI,2015,,Generation,COAL,NON-RENEWABLE,3281.21,UTILITY,CENTRAL,2015,"Financial Year (Apr - Mar), 2015"
UTTARAKHAND,2014,,Generation,SOLAR,RENEWABLE,0.72,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
GOA,2018,,Generation,COAL,NON-RENEWABLE,75.328,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
HIMACHAL PRADESH,2017,,Generation,HYDRO,NON-RENEWABLE,1766.39,UTILITY,STATE,2017,"Financial Year (Apr - Mar), 2017"
A & N ISLANDS,2017,,Generation,SOLAR,RENEWABLE,12.446,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
UTTAR PRADESH,2014,,Generation,COAL,NON-RENEWABLE,9106.33,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
ASSAM,2016,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
MEGHALAYA,2011,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
DELHI,2015,NR,Capacity,SOLAR,,5.465,,,2015,"Financial Year (Apr - Mar), 2015"
GUJARAT,2011,,Generation,DIESEL,NON-RENEWABLE,803.17,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
NAGALAND,2019,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
ASSAM,2020,,Generation,SOLAR,RENEWABLE,6.136,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
RAJASTHAN,2016,,Generation,NUCLEAR,NON-RENEWABLE,8419.24,UTILITY,CENTRAL,2016,"Financial Year (Apr - Mar), 2016"
HARYANA,2017,NR,Potential,WASTE,RENEWABLE,24,,,2017,"Financial Year (Apr - Mar), 2017"
JHARKHAND,2017,,Generation,COAL,NON-RENEWABLE,1423.3,UTILITY,STATE,2017,"Financial Year (Apr - Mar), 2017"
ASSAM,2014,,Generation,SMALL HYDRO,RENEWABLE,59.343,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
HARYANA,2011,,Generation,BIOMASS-BAGASSE,RENEWABLE,186.149,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
ODISHA,2019,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
MEGHALAYA,2011,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2016,NR,Capacity,SMALL HYDRO,,23.85,,,2016,"Financial Year (Apr - Mar), 2016"
CHHATTISGARH,2018,WR,Capacity,SMALL HYDRO,,76,,,2018,"Financial Year (Apr - Mar), 2018"
DELHI,2013,,Generation,COAL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
UTTARAKHAND,2020,,Generation,HYDRO,NON-RENEWABLE,4887.52,UTILITY,STATE,2020,"Financial Year (Apr - Mar), 2020"
DELHI,2020,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
MIZORAM,2016,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
ASSAM,2015,,Generation,HYDRO,NON-RENEWABLE,402.43,UTILITY,STATE,2015,"Financial Year (Apr - Mar), 2015"
WEST BENGAL,2014,,Generation,NATURAL GAS,NON-RENEWABLE,904.24,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
BIHAR,2017,,Generation,COAL,NON-RENEWABLE,131.42,UTILITY,STATE,2017,"Financial Year (Apr - Mar), 2017"
MEGHALAYA,2013,,Generation,SMALL HYDRO,RENEWABLE,65.96,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
GOA,2016,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
ASSAM,2020,NER,Potential,BIOMASS,RENEWABLE,212,,,2020,"Financial Year (Apr - Mar), 2020"
BIHAR,2017,,Generation,DIESEL,NON-RENEWABLE,1.275,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
ODISHA,2015,ER,Potential,WASTE,RENEWABLE,22,,,2015,"Financial Year (Apr - Mar), 2015"
MIZORAM,2013,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
ASSAM,2014,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
BIHAR,2019,ER,Potential,SMALL HYDRO,RENEWABLE,223,,,2019,"Financial Year (Apr - Mar), 2019"
ASSAM,2015,NER,Potential,WASTE,RENEWABLE,8,,,2015,"Financial Year (Apr - Mar), 2015"
JHARKHAND,2015,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
ARUNACHAL PRADESH,2014,,Generation,COAL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
CHANDIGARH,2020,NR,Potential,WASTE,RENEWABLE,6,,,2020,"Financial Year (Apr - Mar), 2020"
GUJARAT,2018,WR,Potential,WASTE,RENEWABLE,112,,,2018,"Financial Year (Apr - Mar), 2018"
NAGALAND,2012,NER,Capacity,SMALL HYDRO,,28.67,,,2012,"Financial Year (Apr - Mar), 2012"
LAKSHADWEEP,2015,,Generation,DIESEL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
GOA,2017,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
ODISHA,2016,,Generation,NATURAL GAS,NON-RENEWABLE,490.55,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
WEST BENGAL,2015,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
TELANGANA,2017,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
NAGALAND,2017,NER,Potential,BIOMASS,RENEWABLE,10,,,2017,"Financial Year (Apr - Mar), 2017"
TRIPURA,2015,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
KARNATAKA,2016,,Generation,WIND,RENEWABLE,28.72,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
MIZORAM,2018,,Generation,COAL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
ANDHRA PRADESH,2012,,Generation,DIESEL,NON-RENEWABLE,12.69,UTILITY,PRIVATE,2012,"Financial Year (Apr - Mar), 2012"
ARUNACHAL PRADESH,2015,,Generation,DIESEL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
MIZORAM,2017,,Generation,SMALL HYDRO,RENEWABLE,49.617,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
A & N ISLANDS,2011,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2013,,Generation,SMALL HYDRO,RENEWABLE,34.085,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
MAHARASHTRA,2019,,Generation,NUCLEAR,NON-RENEWABLE,10766.42,UTILITY,CENTRAL,2019,"Financial Year (Apr - Mar), 2019"
BIHAR,2015,,Generation,COAL,NON-RENEWABLE,0,UTILITY,STATE,2015,"Financial Year (Apr - Mar), 2015"
CHHATTISGARH,2020,WR,Capacity,SMALL HYDRO,,76,,,2020,"Financial Year (Apr - Mar), 2020"
UTTARAKHAND,2019,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
SIKKIM,2016,,Generation,SMALL HYDRO,RENEWABLE,41.926,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
MEGHALAYA,2018,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
MADHYA PRADESH,2016,WR,Capacity,SMALL HYDRO,,86.16,,,2016,"Financial Year (Apr - Mar), 2016"
WEST BENGAL,2019,ER,Capacity,COGENERATION-BAGASSE,,300,,,2019,"Financial Year (Apr - Mar), 2019"
UTTAR PRADESH,2015,NR,Capacity,COGENERATION-BAGASSE,,1872.15,,,2015,"Financial Year (Apr - Mar), 2015"
HIMACHAL PRADESH,2019,NR,Potential,SOLAR,RENEWABLE,33840,,,2019,"Financial Year (Apr - Mar), 2019"
JAMMU & KASHMIR,2020,NR,Potential,BIOMASS,RENEWABLE,43,,,2020,"Financial Year (Apr - Mar), 2020"
PUNJAB,2018,,Generation,SOLAR,RENEWABLE,1432.07,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
JAMMU & KASHMIR,2012,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
MULTIPLE STATES,2018,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
GUJARAT,2017,,Generation,HYDRO,NON-RENEWABLE,3943.88,UTILITY,STATE,2017,"Financial Year (Apr - Mar), 2017"
SIKKIM,2016,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
MAHARASHTRA,2016,,Generation,COAL,NON-RENEWABLE,4330.08,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
GUJARAT,2020,,Generation,COAL,NON-RENEWABLE,13552.758,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
PUNJAB,2019,NR,Capacity,COGENERATION-BAGASSE,,194,,,2019,"Financial Year (Apr - Mar), 2019"
RAJASTHAN,2020,,Generation,BIOMASS-BAGASSE,RENEWABLE,389.944,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
UTTARAKHAND,2020,NR,Capacity,SOLAR,,315.9,,,2020,"Financial Year (Apr - Mar), 2020"
ASSAM,2016,,Generation,NATURAL GAS,NON-RENEWABLE,890.42,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
ASSAM,2019,,Generation,DIESEL,NON-RENEWABLE,4.334,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
HARYANA,2013,,Generation,NATURAL GAS,NON-RENEWABLE,259.16,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
KARNATAKA,2014,,Generation,SOLAR,RENEWABLE,0.04,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
GUJARAT,2017,WR,Potential,BIOMASS,RENEWABLE,1221,,,2017,"Financial Year (Apr - Mar), 2017"
GUJARAT,2011,,Generation,NATURAL GAS,NON-RENEWABLE,4861.41,UTILITY,STATE,2011,"Financial Year (Apr - Mar), 2011"
DADRA & NAGAR HAVELI,2015,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
TAMILNADU,2020,,Generation,HYDRO,NON-RENEWABLE,4765.24,UTILITY,STATE,2020,"Financial Year (Apr - Mar), 2020"
TAMILNADU,2020,,Generation,NUCLEAR,NON-RENEWABLE,12986.33,UTILITY,CENTRAL,2020,"Financial Year (Apr - Mar), 2020"
MEGHALAYA,2017,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
UTTARAKHAND,2019,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
HARYANA,2017,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
UTTAR PRADESH,2019,NR,Capacity,COGENERATION-BAGASSE,,1957.5,,,2019,"Financial Year (Apr - Mar), 2019"
OTHERS,2014,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
MEGHALAYA,2014,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
ANDHRA PRADESH,2019,SR,Capacity,WIND,,4090.45,,,2019,"Financial Year (Apr - Mar), 2019"
TAMILNADU,2016,,Generation,WIND,RENEWABLE,7273.232,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
ANDHRA PRADESH,2015,SR,Potential,COGENERATION-BAGASSE,RENEWABLE,300,,,2015,"Financial Year (Apr - Mar), 2015"
ASSAM,2016,NER,Capacity,SMALL HYDRO,,34.11,,,2016,"Financial Year (Apr - Mar), 2016"
TELANGANA,2015,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
KERALA,2014,,Generation,COAL,NON-RENEWABLE,217.72,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
GOA,2020,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
PUDUCHERRY,2014,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
JAMMU & KASHMIR,2012,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
MANIPUR,2020,NER,Potential,BIOMASS,RENEWABLE,13,,,2020,"Financial Year (Apr - Mar), 2020"
JAMMU & KASHMIR,2013,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
MEGHALAYA,2020,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
MADHYA PRADESH,2014,,Generation,WIND,RENEWABLE,314.661,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
ASSAM,2019,NER,Capacity,SOLAR,,22.4,,,2019,"Financial Year (Apr - Mar), 2019"
KARNATAKA,2017,,Generation,DIESEL,NON-RENEWABLE,866.291,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
ODISHA,2017,,Generation,COAL,NON-RENEWABLE,20885.3,UTILITY,PRIVATE,2017,"Financial Year (Apr - Mar), 2017"
HIMACHAL PRADESH,2016,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
OTHERS,2014,IN,Capacity,SOLAR,,0.82,,,2014,"Financial Year (Apr - Mar), 2014"
MANIPUR,2011,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
CHANDIGARH,2017,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
UTTARAKHAND,2016,,Generation,COAL,NON-RENEWABLE,993.03,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
HIMACHAL PRADESH,2020,,Generation,HYDRO,NON-RENEWABLE,14.052,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
WEST BENGAL,2020,,Generation,COAL,NON-RENEWABLE,37461.02,UTILITY,CENTRAL,2020,"Financial Year (Apr - Mar), 2020"
JHARKHAND,2019,,Generation,COAL,NON-RENEWABLE,11663.07,UTILITY,PRIVATE,2019,"Financial Year (Apr - Mar), 2019"
GUJARAT,2016,,Generation,WIND,RENEWABLE,6514.102,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
DIU & DAMAN,2017,WR,Capacity,SOLAR,,10.46,,,2017,"Financial Year (Apr - Mar), 2017"
SIKKIM,2018,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
UTTAR PRADESH,2011,,Generation,NATURAL GAS,NON-RENEWABLE,9769.22,UTILITY,CENTRAL,2011,"Financial Year (Apr - Mar), 2011"
BIHAR,2019,ER,Capacity,SOLAR,,142.45,,,2019,"Financial Year (Apr - Mar), 2019"
MANIPUR,2020,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
MIZORAM,2016,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
DIU & DAMAN,2017,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
HIMACHAL PRADESH,2015,,Generation,HYDRO,NON-RENEWABLE,6985.46,UTILITY,PRIVATE,2015,"Financial Year (Apr - Mar), 2015"
RAJASTHAN,2016,,Generation,DIESEL,NON-RENEWABLE,612.34,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2019,,Generation,BIOMASS-BAGASSE,RENEWABLE,345.09,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
KERALA,2011,,Generation,DIESEL,NON-RENEWABLE,335.23,UTILITY,STATE,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2013,,Generation,COAL,NON-RENEWABLE,3075.14,UTILITY,PRIVATE,2013,"Financial Year (Apr - Mar), 2013"
GOA,2014,WR,Capacity,SMALL HYDRO,,0.05,,,2014,"Financial Year (Apr - Mar), 2014"
UTTARAKHAND,2016,,Generation,HYDRO,NON-RENEWABLE,5891.04,UTILITY,CENTRAL,2016,"Financial Year (Apr - Mar), 2016"
DADRA & NAGAR HAVELI,2018,WR,Capacity,SOLAR,,5.46,,,2018,"Financial Year (Apr - Mar), 2018"
GOA,2013,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
ASSAM,2018,,Generation,HYDRO,NON-RENEWABLE,484.98,UTILITY,STATE,2018,"Financial Year (Apr - Mar), 2018"
KERALA,2013,,Generation,COAL,NON-RENEWABLE,532.95,UTILITY,STATE,2013,"Financial Year (Apr - Mar), 2013"
GUJARAT,2015,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
NAGALAND,2012,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
DIU & DAMAN,2019,,Generation,COAL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
LADAKH,2020,NR,Potential,SMALL HYDRO,RENEWABLE,0,,,2020,"Financial Year (Apr - Mar), 2020"
MADHYA PRADESH,2016,WR,Potential,WIND,RENEWABLE,10483.87,,,2016,"Financial Year (Apr - Mar), 2016"
DELHI,2020,NR,Potential,SOLAR,RENEWABLE,2050,,,2020,"Financial Year (Apr - Mar), 2020"
ASSAM,2018,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
TRIPURA,2015,NER,Potential,SMALL HYDRO,RENEWABLE,47,,,2015,"Financial Year (Apr - Mar), 2015"
TAMILNADU,2014,,Generation,COAL,NON-RENEWABLE,22447.64,UTILITY,CENTRAL,2014,"Financial Year (Apr - Mar), 2014"
HARYANA,2016,,Generation,SMALL HYDRO,RENEWABLE,992.647,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
HARYANA,2013,,Generation,COAL,NON-RENEWABLE,5079.68,UTILITY,CENTRAL,2013,"Financial Year (Apr - Mar), 2013"
DELHI,2011,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
UTTAR PRADESH,2020,,Generation,NUCLEAR,NON-RENEWABLE,3791.29,UTILITY,CENTRAL,2020,"Financial Year (Apr - Mar), 2020"
UTTAR PRADESH,2013,,Generation,BIOMASS-BAGASSE,RENEWABLE,2703.736,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
MADHYA PRADESH,2011,,Generation,WASTE,RENEWABLE,1.621,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
SIKKIM,2019,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
MIZORAM,2013,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
JHARKHAND,2013,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
ODISHA,2017,,Generation,SMALL HYDRO,RENEWABLE,239.047,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
TRIPURA,2016,,Generation,NATURAL GAS,NON-RENEWABLE,739.22,UTILITY,STATE,2016,"Financial Year (Apr - Mar), 2016"
KARNATAKA,2011,,Generation,COAL,NON-RENEWABLE,8883.84,UTILITY,PRIVATE,2011,"Financial Year (Apr - Mar), 2011"
ARUNACHAL PRADESH,2017,,Generation,DIESEL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
UTTARAKHAND,2017,,Generation,NATURAL GAS,NON-RENEWABLE,24.067,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
ODISHA,2018,ER,Potential,SOLAR,RENEWABLE,25780,,,2018,"Financial Year (Apr - Mar), 2018"
GOA,2017,WR,Potential,BIOMASS,RENEWABLE,26,,,2017,"Financial Year (Apr - Mar), 2017"
ODISHA,2011,,Generation,DIESEL,NON-RENEWABLE,79.33,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
HIMACHAL PRADESH,2015,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
KARNATAKA,2016,,Generation,COAL,NON-RENEWABLE,14842.67,UTILITY,PRIVATE,2016,"Financial Year (Apr - Mar), 2016"
MADHYA PRADESH,2017,WR,Potential,SMALL HYDRO,RENEWABLE,820,,,2017,"Financial Year (Apr - Mar), 2017"
DELHI,2017,,Generation,COAL,NON-RENEWABLE,1704.85,UTILITY,CENTRAL,2017,"Financial Year (Apr - Mar), 2017"
TAMILNADU,2013,,Generation,BIOMASS-BAGASSE,RENEWABLE,1122.082,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
OTHERS,2011,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2019,WR,Capacity,SMALL HYDRO,,95.91,,,2019,"Financial Year (Apr - Mar), 2019"
LAKSHADWEEP,2018,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
ANDHRA PRADESH,2012,,Generation,BIOMASS-BAGASSE,RENEWABLE,667.143,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
TELANGANA,2018,,Generation,RENEWABLES,RENEWABLE,82.43,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
ODISHA,2013,,Generation,SOLAR,RENEWABLE,31.702,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
ODISHA,2019,,Generation,COAL,NON-RENEWABLE,57009.805,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
GUJARAT,2014,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
CHHATTISGARH,2020,,Generation,DIESEL,NON-RENEWABLE,25.278,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
ANDHRA PRADESH,2019,,Generation,COAL,NON-RENEWABLE,8923.05,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
UTTARAKHAND,2019,,Generation,DIESEL,NON-RENEWABLE,62.846,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
DIU & DAMAN,2013,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
JAMMU & KASHMIR,2014,,Generation,DIESEL,NON-RENEWABLE,3.42,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
UTTAR PRADESH,2016,,Generation,HYDRO,NON-RENEWABLE,935.08,UTILITY,STATE,2016,"Financial Year (Apr - Mar), 2016"
NAGALAND,2013,NER,Capacity,SMALL HYDRO,,28.67,,,2013,"Financial Year (Apr - Mar), 2013"
JHARKHAND,2016,,Generation,COAL,NON-RENEWABLE,12651.67,UTILITY,PRIVATE,2016,"Financial Year (Apr - Mar), 2016"
HARYANA,2019,,Generation,COAL,NON-RENEWABLE,10552.71,UTILITY,STATE,2019,"Financial Year (Apr - Mar), 2019"
